author_id generation_topic randomly_selected_file
A100UD67AHFODS HomeandKitchen A3H7NPNDMGLOU4/A3H7NPNDMGLOU4_HomeandKitchen.txt
A100WO06OQR8BQ Beauty A3006WHOAYJRLI/A3006WHOAYJRLI_Beauty.txt
A1047EDJ84IMAS CellPhonesandAccessories A2LF16F0KX9L7P/A2LF16F0KX9L7P_CellPhonesandAccessories.txt
A105S56ODHGJEK InstantVideo ADWSD45P3NZGU/ADWSD45P3NZGU_InstantVideo.txt
A106Q1A6LGU4DP AppsforAndroid A3NYZB4V55CZIM/A3NYZB4V55CZIM_AppsforAndroid.txt
A10ASLX7DTTB6Z InstantVideo A3MDA891A1EPT8/A3MDA891A1EPT8_InstantVideo.txt
A10C5CJK1YKGV0 AppsforAndroid A310KT1UQC5UNU/A310KT1UQC5UNU_AppsforAndroid.txt
A10E3F50DIUJEE Electronics A3FY3H6F4249E0/A3FY3H6F4249E0_Electronics.txt
A10H24TDLK2VDP Beauty A19YOYY7FLQMA6/A19YOYY7FLQMA6_Beauty.txt
A10IKHRUSMKP46 HealthandPersonalCare A26LD9FQHTM8ZH/A26LD9FQHTM8ZH_HealthandPersonalCare.txt
A10O7THJ2O20AG ClothingShoesandJewelry AN81JUYW2SL24/AN81JUYW2SL24_ClothingShoesandJewelry.txt
A10PEXB6XAQ5XF DigitalMusic ATLZNVLYKP9AZ/ATLZNVLYKP9AZ_DigitalMusic.txt
A10Y058K7B96C6 ClothingShoesandJewelry A3RUQO10JKY9NT/A3RUQO10JKY9NT_ClothingShoesandJewelry.txt
A10ZBR6O8S8OCY KindleStore A2507ZYWGMY9BK/A2507ZYWGMY9BK_KindleStore.txt
A116J8AUC3JSN2 AppsforAndroid A1YUWK0O71JG0W/A1YUWK0O71JG0W_AppsforAndroid.txt
A11B61QBGHLQDN Automotive AHS6PX6H22WW1/AHS6PX6H22WW1_Automotive.txt
A11ED8O95W2103 Baby A1DTCJV6KOMJOA/A1DTCJV6KOMJOA_Baby.txt
A11EXFO14WEJM1 Beauty A6WZVL0SRQAPY/A6WZVL0SRQAPY_Beauty.txt
A11FX8HL2ANK6T Baby A2W2E6BPPYZO0T/A2W2E6BPPYZO0T_Baby.txt
A11I1I9QLMAM1A MusicalInstruments A2MVPY9XVYST9H/A2MVPY9XVYST9H_MusicalInstruments.txt
A11KZ906QD08C5 HomeandKitchen A2J19U8H5SSFCJ/A2J19U8H5SSFCJ_HomeandKitchen.txt
A11L5M4MJP00UW CDandVinyl A1H7Y5XKPGT0OS/A1H7Y5XKPGT0OS_CDandVinyl.txt
A11LNPG39A2ZV4 AppsforAndroid A2MTPVW8JI634V/A2MTPVW8JI634V_AppsforAndroid.txt
A11OTLEDSW8ZXD Beauty A3LHIRT4SR3F9T/A3LHIRT4SR3F9T_Beauty.txt
A11SPSEM08VIXX ClothingShoesandJewelry A1LG1DKUZXGJ6J/A1LG1DKUZXGJ6J_ClothingShoesandJewelry.txt
A11SWG9T60IQH8 Electronics AGBFIQMV9L61Y/AGBFIQMV9L61Y_Electronics.txt
A11T807LX2EF00 KindleStore A392P34QSBUICZ/A392P34QSBUICZ_KindleStore.txt
A11WYHDB1YEZOX AppsforAndroid AO1Z0TQWCRGL4/AO1Z0TQWCRGL4_AppsforAndroid.txt
A11XAIFA10G7TS Beauty A1IZJVLNMFACS6/A1IZJVLNMFACS6_Beauty.txt
A11YOTONCPRQ9S Automotive A1YUWK0O71JG0W/A1YUWK0O71JG0W_Automotive.txt
A1248JRIINWRTH Baby A3SIFPKLMOY07N/A3SIFPKLMOY07N_Baby.txt
A12ANFNOSMW5VD MusicalInstruments A2XXBZPQT5EXHV/A2XXBZPQT5EXHV_MusicalInstruments.txt
A12B7ZMXFI6IXY InstantVideo A2RDR5G65D9H84/A2RDR5G65D9H84_InstantVideo.txt
