author_id one_not_selected_topic
A100UD67AHFODS CellPhonesandAccessories
A100WO06OQR8BQ Beauty
A1047EDJ84IMAS Beauty
A105S56ODHGJEK MoviesandTV
A106Q1A6LGU4DP OfficeProducts
A10ASLX7DTTB6Z CellPhonesandAccessories
A10C5CJK1YKGV0 CDandVinyl
A10E3F50DIUJEE HealthandPersonalCare
A10H24TDLK2VDP CellPhonesandAccessories
A10IKHRUSMKP46 MoviesandTV
A10O7THJ2O20AG MoviesandTV
A10PEXB6XAQ5XF HealthandPersonalCare
A10Y058K7B96C6 GroceryandGourmetFood
A10ZBR6O8S8OCY HealthandPersonalCare
A116J8AUC3JSN2 GroceryandGourmetFood
A11B61QBGHLQDN KindleStore
A11ED8O95W2103 InstantVideo
A11EXFO14WEJM1 Beauty
A11FX8HL2ANK6T Electronics
A11I1I9QLMAM1A HealthandPersonalCare
A11KZ906QD08C5 HomeandKitchen
A11L5M4MJP00UW HealthandPersonalCare
A11LNPG39A2ZV4 HomeandKitchen
A11OTLEDSW8ZXD KindleStore
A11SPSEM08VIXX HealthandPersonalCare
A11SWG9T60IQH8 MoviesandTV
A11T807LX2EF00 OfficeProducts
A11WYHDB1YEZOX Beauty
A11XAIFA10G7TS HomeandKitchen
A11YOTONCPRQ9S OfficeProducts
A1248JRIINWRTH MoviesandTV
A12ANFNOSMW5VD OfficeProducts
A12B7ZMXFI6IXY OfficeProducts
A12DQZKRKTNF5E HomeandKitchen
A12E0Y0J6584RT Beauty
A12ENBT314RFXR HomeandKitchen
A12GK5JUYAV0HM Beauty
A12IRGQLFE4EBA GroceryandGourmetFood
A12XDEMP7PQPDT GroceryandGourmetFood
A132ETQPMHQ585 AppsforAndroid
A13700AF4X40YG HealthandPersonalCare
A13E0ARAXI6KJW MoviesandTV
A13H5US9Z7L9M7 OfficeProducts
A13MKSASQ6YWL7 OfficeProducts
A13NJZ1M018A7C HealthandPersonalCare
A13NM1PES9OXVN Beauty
A13U975DFXBU44 HealthandPersonalCare
A13WEKTB63G78Y Electronics
A13WOT3RSXKRD5 Electronics
