author_id training1 training2 training3 generation1 generation2
A100UD67AHFODS ClothingShoesandJewelry Beauty InstantVideo HomeandKitchen Automotive
A100WO06OQR8BQ CellPhonesandAccessories OfficeProducts HealthandPersonalCare Beauty Electronics
A1047EDJ84IMAS HealthandPersonalCare HomeandKitchen Electronics CellPhonesandAccessories AppsforAndroid
A105S56ODHGJEK DigitalMusic HomeandKitchen CellPhonesandAccessories InstantVideo Electronics
A106Q1A6LGU4DP CellPhonesandAccessories HomeandKitchen HealthandPersonalCare AppsforAndroid CDandVinyl
A10ASLX7DTTB6Z HealthandPersonalCare OfficeProducts HomeandKitchen InstantVideo MoviesandTV
A10C5CJK1YKGV0 MoviesandTV HomeandKitchen HealthandPersonalCare AppsforAndroid GroceryandGourmetFood
A10E3F50DIUJEE Beauty MoviesandTV GroceryandGourmetFood Electronics Automotive
A10H24TDLK2VDP GroceryandGourmetFood HomeandKitchen HealthandPersonalCare Beauty Automotive
A10IKHRUSMKP46 GroceryandGourmetFood KindleStore CellPhonesandAccessories HealthandPersonalCare CDandVinyl
A10O7THJ2O20AG HomeandKitchen OfficeProducts CellPhonesandAccessories ClothingShoesandJewelry MusicalInstruments
A10PEXB6XAQ5XF MoviesandTV AppsforAndroid KindleStore DigitalMusic OfficeProducts
A10Y058K7B96C6 HomeandKitchen Electronics Beauty ClothingShoesandJewelry Automotive
A10ZBR6O8S8OCY Beauty OfficeProducts CellPhonesandAccessories KindleStore MoviesandTV
A116J8AUC3JSN2 Electronics HealthandPersonalCare CellPhonesandAccessories AppsforAndroid HomeandKitchen
A11B61QBGHLQDN GroceryandGourmetFood HomeandKitchen CDandVinyl Automotive Beauty
A11ED8O95W2103 HomeandKitchen DigitalMusic MoviesandTV Baby InstantVideo
A11EXFO14WEJM1 GroceryandGourmetFood CellPhonesandAccessories Electronics Beauty MusicalInstruments
A11FX8HL2ANK6T HomeandKitchen ClothingShoesandJewelry OfficeProducts Baby MusicalInstruments
A11I1I9QLMAM1A OfficeProducts Automotive KindleStore MusicalInstruments InstantVideo
A11KZ906QD08C5 AppsforAndroid Electronics OfficeProducts HomeandKitchen Baby
A11L5M4MJP00UW Electronics MoviesandTV DigitalMusic CDandVinyl HomeandKitchen
A11LNPG39A2ZV4 CellPhonesandAccessories GroceryandGourmetFood HealthandPersonalCare AppsforAndroid DigitalMusic
A11OTLEDSW8ZXD Electronics CellPhonesandAccessories MoviesandTV Beauty OfficeProducts
A11SPSEM08VIXX Beauty MoviesandTV GroceryandGourmetFood ClothingShoesandJewelry InstantVideo
A11SWG9T60IQH8 Beauty OfficeProducts GroceryandGourmetFood Electronics InstantVideo
A11T807LX2EF00 GroceryandGourmetFood CellPhonesandAccessories HealthandPersonalCare KindleStore MoviesandTV
A11WYHDB1YEZOX Electronics ClothingShoesandJewelry HealthandPersonalCare AppsforAndroid DigitalMusic
A11XAIFA10G7TS KindleStore GroceryandGourmetFood ClothingShoesandJewelry Beauty MoviesandTV
A11YOTONCPRQ9S ClothingShoesandJewelry HealthandPersonalCare Electronics Automotive InstantVideo
A1248JRIINWRTH HomeandKitchen GroceryandGourmetFood Electronics Baby CellPhonesandAccessories
A12ANFNOSMW5VD ClothingShoesandJewelry HealthandPersonalCare Electronics MusicalInstruments HomeandKitchen
A12B7ZMXFI6IXY Baby ClothingShoesandJewelry HealthandPersonalCare InstantVideo MoviesandTV
A12DQZKRKTNF5E MusicalInstruments MoviesandTV Beauty DigitalMusic HealthandPersonalCare
A12E0Y0J6584RT Baby MoviesandTV HomeandKitchen AppsforAndroid InstantVideo
A12ENBT314RFXR HealthandPersonalCare Beauty OfficeProducts DigitalMusic Electronics
A12GK5JUYAV0HM Electronics MoviesandTV HomeandKitchen CDandVinyl Automotive
A12IRGQLFE4EBA Beauty HomeandKitchen MoviesandTV GroceryandGourmetFood Electronics
A12XDEMP7PQPDT HealthandPersonalCare CDandVinyl Electronics InstantVideo MusicalInstruments
A132ETQPMHQ585 MoviesandTV GroceryandGourmetFood HomeandKitchen CellPhonesandAccessories InstantVideo
A13700AF4X40YG MoviesandTV CDandVinyl HomeandKitchen Beauty MusicalInstruments
A13E0ARAXI6KJW HealthandPersonalCare DigitalMusic InstantVideo Electronics HomeandKitchen
A13H5US9Z7L9M7 Beauty HealthandPersonalCare GroceryandGourmetFood HomeandKitchen DigitalMusic
A13MKSASQ6YWL7 CellPhonesandAccessories Beauty HomeandKitchen AppsforAndroid DigitalMusic
A13NJZ1M018A7C Beauty Electronics KindleStore Automotive Baby
A13NM1PES9OXVN HomeandKitchen Electronics GroceryandGourmetFood DigitalMusic HealthandPersonalCare
