author_id training11 training12 training13 generation1 training21 training22 training23 generation2
A100UD67AHFODS HealthandPersonalCare CellPhonesandAccessories MoviesandTV CDandVinyl HomeandKitchen InstantVideo ClothingShoesandJewelry GroceryandGourmetFood
A100WO06OQR8BQ GroceryandGourmetFood CellPhonesandAccessories Beauty HealthandPersonalCare Electronics OfficeProducts Automotive ClothingShoesandJewelry
A1047EDJ84IMAS Electronics HealthandPersonalCare HomeandKitchen OfficeProducts ClothingShoesandJewelry GroceryandGourmetFood Beauty KindleStore
A105S56ODHGJEK DigitalMusic HealthandPersonalCare Beauty MusicalInstruments MoviesandTV Baby Electronics Automotive
A106Q1A6LGU4DP CellPhonesandAccessories Electronics OfficeProducts AppsforAndroid HomeandKitchen GroceryandGourmetFood HealthandPersonalCare MoviesandTV
A10ASLX7DTTB6Z HealthandPersonalCare Electronics CellPhonesandAccessories DigitalMusic CDandVinyl Baby HomeandKitchen InstantVideo
A10C5CJK1YKGV0 CDandVinyl Electronics OfficeProducts AppsforAndroid DigitalMusic HealthandPersonalCare Beauty ClothingShoesandJewelry
A10E3F50DIUJEE Electronics HealthandPersonalCare Baby DigitalMusic MoviesandTV HomeandKitchen Beauty AppsforAndroid
A10H24TDLK2VDP MoviesandTV CellPhonesandAccessories CDandVinyl KindleStore DigitalMusic HealthandPersonalCare HomeandKitchen MusicalInstruments
A10IKHRUSMKP46 HealthandPersonalCare HomeandKitchen Electronics Beauty KindleStore GroceryandGourmetFood CellPhonesandAccessories MusicalInstruments
A10O7THJ2O20AG CellPhonesandAccessories Electronics OfficeProducts Baby HomeandKitchen HealthandPersonalCare MoviesandTV CDandVinyl
A10PEXB6XAQ5XF HomeandKitchen Beauty OfficeProducts ClothingShoesandJewelry HealthandPersonalCare KindleStore MoviesandTV GroceryandGourmetFood
A10Y058K7B96C6 Electronics GroceryandGourmetFood HomeandKitchen ClothingShoesandJewelry Automotive Beauty HealthandPersonalCare OfficeProducts
A10ZBR6O8S8OCY HomeandKitchen GroceryandGourmetFood Electronics CDandVinyl Beauty CellPhonesandAccessories HealthandPersonalCare KindleStore
A116J8AUC3JSN2 Electronics Baby CellPhonesandAccessories InstantVideo HealthandPersonalCare HomeandKitchen GroceryandGourmetFood KindleStore
A11B61QBGHLQDN HealthandPersonalCare KindleStore GroceryandGourmetFood InstantVideo MoviesandTV Electronics CDandVinyl Automotive
A11ED8O95W2103 OfficeProducts DigitalMusic MoviesandTV GroceryandGourmetFood Electronics HomeandKitchen HealthandPersonalCare InstantVideo
A11EXFO14WEJM1 CellPhonesandAccessories HealthandPersonalCare HomeandKitchen CDandVinyl Electronics GroceryandGourmetFood OfficeProducts KindleStore
A11FX8HL2ANK6T Beauty Electronics OfficeProducts Baby HealthandPersonalCare MoviesandTV HomeandKitchen KindleStore
A11I1I9QLMAM1A Electronics KindleStore ClothingShoesandJewelry AppsforAndroid HealthandPersonalCare Automotive HomeandKitchen InstantVideo
A11KZ906QD08C5 HomeandKitchen KindleStore HealthandPersonalCare MusicalInstruments OfficeProducts Electronics AppsforAndroid InstantVideo
A11L5M4MJP00UW DigitalMusic GroceryandGourmetFood HealthandPersonalCare ClothingShoesandJewelry MoviesandTV CDandVinyl HomeandKitchen AppsforAndroid
A11LNPG39A2ZV4 HealthandPersonalCare CellPhonesandAccessories GroceryandGourmetFood CDandVinyl HomeandKitchen Beauty OfficeProducts AppsforAndroid
A11OTLEDSW8ZXD Beauty KindleStore ClothingShoesandJewelry Baby CellPhonesandAccessories HealthandPersonalCare OfficeProducts MusicalInstruments
A11SPSEM08VIXX GroceryandGourmetFood HealthandPersonalCare OfficeProducts HomeandKitchen Beauty MoviesandTV Electronics DigitalMusic
A11SWG9T60IQH8 MoviesandTV Beauty OfficeProducts KindleStore Electronics HealthandPersonalCare GroceryandGourmetFood InstantVideo
A11T807LX2EF00 HealthandPersonalCare Electronics HomeandKitchen CDandVinyl GroceryandGourmetFood OfficeProducts CellPhonesandAccessories AppsforAndroid
A11WYHDB1YEZOX HomeandKitchen HealthandPersonalCare GroceryandGourmetFood CellPhonesandAccessories KindleStore Electronics Beauty DigitalMusic
A11XAIFA10G7TS CDandVinyl GroceryandGourmetFood Electronics Baby KindleStore CellPhonesandAccessories MoviesandTV Automotive
A11YOTONCPRQ9S OfficeProducts CellPhonesandAccessories HomeandKitchen Baby MoviesandTV GroceryandGourmetFood Electronics MusicalInstruments
A1248JRIINWRTH MoviesandTV OfficeProducts GroceryandGourmetFood MusicalInstruments HealthandPersonalCare Electronics HomeandKitchen Beauty
A12ANFNOSMW5VD KindleStore Electronics MoviesandTV InstantVideo ClothingShoesandJewelry HealthandPersonalCare HomeandKitchen AppsforAndroid
A12B7ZMXFI6IXY CellPhonesandAccessories HomeandKitchen GroceryandGourmetFood InstantVideo AppsforAndroid Baby OfficeProducts Beauty
A12DQZKRKTNF5E OfficeProducts HomeandKitchen CellPhonesandAccessories AppsforAndroid Automotive HealthandPersonalCare GroceryandGourmetFood MoviesandTV
A12E0Y0J6584RT GroceryandGourmetFood MoviesandTV CellPhonesandAccessories CDandVinyl HealthandPersonalCare OfficeProducts HomeandKitchen ClothingShoesandJewelry
A12ENBT314RFXR Electronics OfficeProducts HealthandPersonalCare DigitalMusic HomeandKitchen GroceryandGourmetFood Beauty CDandVinyl
A12GK5JUYAV0HM ClothingShoesandJewelry HomeandKitchen MoviesandTV Automotive GroceryandGourmetFood Electronics HealthandPersonalCare Beauty
A12IRGQLFE4EBA Baby HomeandKitchen GroceryandGourmetFood Electronics Beauty InstantVideo MoviesandTV DigitalMusic
A12XDEMP7PQPDT Beauty Electronics OfficeProducts MusicalInstruments GroceryandGourmetFood MoviesandTV CDandVinyl HomeandKitchen
A132ETQPMHQ585 HomeandKitchen AppsforAndroid GroceryandGourmetFood CellPhonesandAccessories MoviesandTV ClothingShoesandJewelry Beauty OfficeProducts
A13700AF4X40YG CDandVinyl HomeandKitchen Electronics ClothingShoesandJewelry CellPhonesandAccessories HealthandPersonalCare Beauty GroceryandGourmetFood
A13E0ARAXI6KJW DigitalMusic HealthandPersonalCare GroceryandGourmetFood AppsforAndroid InstantVideo HomeandKitchen MoviesandTV ClothingShoesandJewelry
A13H5US9Z7L9M7 GroceryandGourmetFood HealthandPersonalCare OfficeProducts InstantVideo Electronics Beauty ClothingShoesandJewelry DigitalMusic
A13MKSASQ6YWL7 GroceryandGourmetFood Beauty CellPhonesandAccessories AppsforAndroid Electronics HomeandKitchen HealthandPersonalCare DigitalMusic
A13NJZ1M018A7C HealthandPersonalCare Electronics HomeandKitchen MusicalInstruments MoviesandTV Beauty KindleStore InstantVideo
A13NM1PES9OXVN HomeandKitchen HealthandPersonalCare CDandVinyl MusicalInstruments Electronics MoviesandTV Beauty Baby
A13U975DFXBU44 KindleStore HealthandPersonalCare Beauty AppsforAndroid OfficeProducts HomeandKitchen GroceryandGourmetFood InstantVideo
A13WEKTB63G78Y HealthandPersonalCare Electronics MoviesandTV InstantVideo Baby Beauty GroceryandGourmetFood HomeandKitchen
A13WOT3RSXKRD5 Beauty Electronics HomeandKitchen Baby MoviesandTV OfficeProducts CDandVinyl GroceryandGourmetFood
A140ICK18NAAYR GroceryandGourmetFood Beauty Electronics InstantVideo OfficeProducts HealthandPersonalCare HomeandKitchen Automotive
A141W8WHW9AC3H HealthandPersonalCare GroceryandGourmetFood Electronics InstantVideo Beauty OfficeProducts HomeandKitchen Automotive
A1437CAM9CNC1E Electronics HealthandPersonalCare OfficeProducts MusicalInstruments KindleStore Beauty HomeandKitchen Baby
A145B8OHVNNFAJ OfficeProducts CDandVinyl Beauty AppsforAndroid MoviesandTV Electronics HomeandKitchen MusicalInstruments
A14638TGYH7GD9 HealthandPersonalCare Electronics HomeandKitchen KindleStore OfficeProducts Beauty MoviesandTV InstantVideo
A146H6A41B26QT MoviesandTV Beauty HomeandKitchen Automotive GroceryandGourmetFood OfficeProducts Electronics InstantVideo
A147FUNITGB21I HealthandPersonalCare Beauty Electronics DigitalMusic CellPhonesandAccessories MoviesandTV GroceryandGourmetFood AppsforAndroid
A14B4MJ7KZE63B AppsforAndroid ClothingShoesandJewelry GroceryandGourmetFood KindleStore MoviesandTV Electronics HealthandPersonalCare InstantVideo
A14BTJRH9VNLJJ GroceryandGourmetFood HomeandKitchen Electronics Beauty DigitalMusic MoviesandTV HealthandPersonalCare KindleStore
A14DNCG5WHM86Z HomeandKitchen CellPhonesandAccessories Electronics Automotive OfficeProducts Beauty Baby KindleStore
A14DR2RP5PAKNS GroceryandGourmetFood Electronics InstantVideo ClothingShoesandJewelry Beauty HealthandPersonalCare MoviesandTV OfficeProducts
A14EPTYN50XSZV OfficeProducts HomeandKitchen Beauty MusicalInstruments HealthandPersonalCare Electronics GroceryandGourmetFood Baby
A14G3AZAND93VM HealthandPersonalCare Beauty OfficeProducts KindleStore Electronics HomeandKitchen GroceryandGourmetFood InstantVideo
A14JBDSWKPKTZA Automotive OfficeProducts MusicalInstruments Baby HealthandPersonalCare MoviesandTV Electronics CDandVinyl
A14NA0W8ESGDSI Electronics GroceryandGourmetFood HealthandPersonalCare InstantVideo HomeandKitchen Beauty MoviesandTV Baby
A14OQ67LM79KW3 Baby HealthandPersonalCare MoviesandTV Automotive Electronics OfficeProducts GroceryandGourmetFood MusicalInstruments
A14R9XMZVJ6INB MoviesandTV GroceryandGourmetFood Electronics HomeandKitchen ClothingShoesandJewelry Beauty KindleStore CellPhonesandAccessories
A14RYRR7ETV3UY HealthandPersonalCare HomeandKitchen OfficeProducts Automotive CellPhonesandAccessories Electronics Baby ClothingShoesandJewelry
A14X244VGHWPSX HealthandPersonalCare Baby Electronics OfficeProducts MoviesandTV Beauty HomeandKitchen Automotive
A14XRI4U6BRG8T ClothingShoesandJewelry Baby Beauty OfficeProducts HealthandPersonalCare Electronics AppsforAndroid MusicalInstruments
A14XUCN5OC998O MoviesandTV GroceryandGourmetFood CellPhonesandAccessories HealthandPersonalCare Electronics OfficeProducts HomeandKitchen KindleStore
A14Z6D3IRJ23F7 ClothingShoesandJewelry HomeandKitchen GroceryandGourmetFood MoviesandTV Automotive Electronics Beauty OfficeProducts
A1501C38OCSEMA Beauty HomeandKitchen HealthandPersonalCare Automotive Baby Electronics GroceryandGourmetFood CDandVinyl
A1509YCCYCYQQ3 GroceryandGourmetFood HomeandKitchen OfficeProducts KindleStore HealthandPersonalCare Electronics Beauty ClothingShoesandJewelry
A156P4FPL8OGXB MoviesandTV HomeandKitchen Electronics ClothingShoesandJewelry CDandVinyl HealthandPersonalCare GroceryandGourmetFood AppsforAndroid
A158CH42BGFN68 HomeandKitchen GroceryandGourmetFood Electronics KindleStore CellPhonesandAccessories HealthandPersonalCare ClothingShoesandJewelry MoviesandTV
A15CL28ALB7MTZ MoviesandTV HealthandPersonalCare HomeandKitchen AppsforAndroid Electronics OfficeProducts CellPhonesandAccessories GroceryandGourmetFood
A15D2X8MICR2VQ GroceryandGourmetFood HomeandKitchen HealthandPersonalCare KindleStore Electronics OfficeProducts Baby AppsforAndroid
A15JB2HEZ6RKGW OfficeProducts HealthandPersonalCare Electronics AppsforAndroid HomeandKitchen GroceryandGourmetFood Beauty MusicalInstruments
A15LK8DSFQZZ52 HealthandPersonalCare MoviesandTV HomeandKitchen Automotive Beauty OfficeProducts GroceryandGourmetFood AppsforAndroid
A15NS9ERV7LT7A HealthandPersonalCare HomeandKitchen GroceryandGourmetFood Automotive MoviesandTV CDandVinyl Beauty OfficeProducts
A15OAS39003U5R HomeandKitchen Electronics HealthandPersonalCare MusicalInstruments OfficeProducts GroceryandGourmetFood Beauty CellPhonesandAccessories
A15Q9YEG1XPEJN Electronics CDandVinyl HomeandKitchen AppsforAndroid MoviesandTV GroceryandGourmetFood HealthandPersonalCare Beauty
A15T9G38F589KM Electronics HealthandPersonalCare CellPhonesandAccessories AppsforAndroid ClothingShoesandJewelry OfficeProducts Beauty InstantVideo
A167KPMW1NBZJW HomeandKitchen Beauty Electronics CDandVinyl HealthandPersonalCare GroceryandGourmetFood OfficeProducts DigitalMusic
A16ALXKQ02SKYG Beauty HomeandKitchen Automotive InstantVideo GroceryandGourmetFood OfficeProducts Electronics HealthandPersonalCare
A16AXQ11SZA8SQ HealthandPersonalCare KindleStore GroceryandGourmetFood MoviesandTV Automotive Beauty Electronics DigitalMusic
A16EIVIBBXFAQ0 Electronics HomeandKitchen MoviesandTV CDandVinyl HealthandPersonalCare GroceryandGourmetFood Beauty AppsforAndroid
A16GBXDS51J019 OfficeProducts CellPhonesandAccessories HealthandPersonalCare DigitalMusic Electronics HomeandKitchen GroceryandGourmetFood Baby
A16IM9MYTHCKYQ Beauty MoviesandTV CDandVinyl Baby GroceryandGourmetFood HealthandPersonalCare HomeandKitchen Electronics
A16PUD6V3KAZ0Q GroceryandGourmetFood HomeandKitchen HealthandPersonalCare AppsforAndroid OfficeProducts Electronics Beauty Automotive
A16QODENBJVUI1 ClothingShoesandJewelry CDandVinyl HomeandKitchen Automotive InstantVideo KindleStore OfficeProducts DigitalMusic
A16RI68PS6T5CA CellPhonesandAccessories HomeandKitchen GroceryandGourmetFood HealthandPersonalCare OfficeProducts Electronics Baby MoviesandTV
A16WPA6JV83YXT Beauty Electronics OfficeProducts DigitalMusic KindleStore HealthandPersonalCare GroceryandGourmetFood Automotive
A16YU3GRGCD95S GroceryandGourmetFood Electronics ClothingShoesandJewelry InstantVideo HealthandPersonalCare HomeandKitchen CellPhonesandAccessories MoviesandTV
A16Z2OECAUX8Z4 Electronics Automotive CellPhonesandAccessories CDandVinyl HomeandKitchen HealthandPersonalCare Beauty KindleStore
A173YMJ9XFVRSY GroceryandGourmetFood CellPhonesandAccessories OfficeProducts AppsforAndroid Electronics Beauty HealthandPersonalCare HomeandKitchen
A175N19FS2B4J CDandVinyl Beauty MoviesandTV HomeandKitchen HealthandPersonalCare Electronics GroceryandGourmetFood AppsforAndroid
A17771LTRWSKQ5 GroceryandGourmetFood MoviesandTV ClothingShoesandJewelry MusicalInstruments HomeandKitchen CellPhonesandAccessories OfficeProducts KindleStore
A17A1KTVI3DG6U Baby HealthandPersonalCare MusicalInstruments OfficeProducts CDandVinyl Electronics HomeandKitchen Automotive
A17AHTCKJ4SUT0 Beauty HomeandKitchen CDandVinyl ClothingShoesandJewelry GroceryandGourmetFood HealthandPersonalCare OfficeProducts Electronics
A17BUUBOU0598B CDandVinyl MoviesandTV HomeandKitchen Beauty CellPhonesandAccessories KindleStore OfficeProducts Baby
