author_id training11 training12 training13 generation1 training21 training22 training23 generation2
A12ENBT314RFXR Electronics OfficeProducts HealthandPersonalCare DigitalMusic HomeandKitchen GroceryandGourmetFood Beauty CDandVinyl
A12GK5JUYAV0HM ClothingShoesandJewelry HomeandKitchen MoviesandTV Automotive GroceryandGourmetFood Electronics HealthandPersonalCare Beauty
A14DNCG5WHM86Z HomeandKitchen CellPhonesandAccessories Electronics Automotive OfficeProducts Beauty Baby KindleStore
A158CH42BGFN68 HomeandKitchen GroceryandGourmetFood Electronics KindleStore CellPhonesandAccessories HealthandPersonalCare ClothingShoesandJewelry MoviesandTV
A173YMJ9XFVRSY GroceryandGourmetFood CellPhonesandAccessories OfficeProducts AppsforAndroid Electronics Beauty HealthandPersonalCare HomeandKitchen
A17V9XL4CWTQ6G MoviesandTV Beauty HealthandPersonalCare HomeandKitchen OfficeProducts ClothingShoesandJewelry CellPhonesandAccessories MusicalInstruments
A186ZAYP2L4CDZ Beauty AppsforAndroid OfficeProducts HealthandPersonalCare KindleStore HomeandKitchen MoviesandTV Automotive
A19RE9LBQIX90B OfficeProducts KindleStore Electronics CellPhonesandAccessories GroceryandGourmetFood Beauty HealthandPersonalCare ClothingShoesandJewelry
A1C21QBAZ1W4Z2 HealthandPersonalCare GroceryandGourmetFood Beauty InstantVideo Baby MoviesandTV HomeandKitchen CellPhonesandAccessories
A1GUX6R8DV3ZLY MoviesandTV HomeandKitchen Electronics HealthandPersonalCare Beauty Baby ClothingShoesandJewelry MusicalInstruments
A1IA0O3OYQO9LV Electronics HealthandPersonalCare HomeandKitchen AppsforAndroid GroceryandGourmetFood Beauty OfficeProducts InstantVideo
